Threonate	C01620	322102.051305694	0.0343903804
Glycerol	C00116	538315.724325297	0.202518578
2-Hydroxyglutarate	C01087	776837.433888413	0.0620940027
Leucine	C00123	2874273.1790535	0.1277234043
Serine	C00065	3054518.6041647	0.0620310977
Isoleucine	C00407	3077088.02760689	0.1824387608
Threonine	C00188	4654003.7682631	0.0369211826
Lactate	C00186	24528715.0323457	0.2363890186
Beta-Alanine	C00099	273762.023761647	0.1263871336
Pantothenate	C00864	550474.221978438	0.053301214
Aspartate	C00049	1334287.72722779	0.1004248607
Valine	C00183	3933441.52801101	0.1694279322
Glycerol 3-phosphate	C00093	6179667.61854466	0.1258702138
Glycine	C00037	11334009.9106262	0.047837613
Glucose	C00031	13104730.9656998	0.5410423415
Glutamate	C00025	15186957.5601874	0.0556430295
Mannose	C00159	17412142.1921362	0.2714738728
Phosphate	C00009	25972983.3904116	0.0215876081
Malate	C00149	333252.151101229	0.0435582171
Cyclohexanol	C00854	386981.827814798	0.1560982534
Methionine	C00073	852506.251107236	0.1218112963
Dihydrogen carbonate	C01353	1206722.92889487	0.0506942458
Proline	C00148	1492458.51941423	0.0402239195
Creatinine	C00791	1784222.29963182	0.0916826362
Alanine	C00041	4154000.56300475	0.0510464446
Maltose	C00208	17879.3424803974	0.3169450348
Succinate	C00042	493986.320769595	0.0326756467
Phenylalanine	C00079	2142596.95935611	0.1250768206
Glycerate	C00258	10754.3675711673	0.230451921
Uracil	C00106	117632.738637946	0.0690803357
Stearate	C01530	185875.491416272	0.0255309795
Serine	C00065	1651367.35964221	0.0984333659
Fructose	C00095	3815657.66559658	0.2297660187
Isoleucine	C00407	38265.8537771252	0.1770248588
Mannose	C00159	278258.680874154	0.1325665475
Quebrachitol	C08257	280272.394312345	0.6622774773
Hydrogen sulfide	C00283	344830.527419798	0.0363276455
Ornithine	C00077	574660.453606274	0.1216897014
Ribitol	C00474	1005885.43101723	0.052729517
Threonine	C00188	2224611.47502712	0.1169205414
Fumarate	C00122	204178.114707847	0.0386519895
Lysine	C00047	402763.336478285	0.0967405938
Urea	C00086	1220872.38421506	0.1358743959
Pyridoxine	C00314	46055.6341351745	0.1304715026
Aspartate	C00049	200852.608762002	0.1106574636
Hydroxypyridine	C02502	370184.443146839	0.0306219319
Diphosphate	C00013	455151.307692214	0.2478165234
Pyruvate	C00022	263195.693764467	0.1652212277
Inositol	C00137	35726176.3879031	0.0599916096
3-Phospho-D-glycerate	C00197	25855.865496764	0.1054621218
Erythritol	C00503	407606.565988846	0.1528746481
Hydroxylamine	C00192	11601.6621027283	0.2273140722
Cysteine	C00097	99976.4152186089	0.1637886213
Sucrose	C00089	143778.540049715	0.2639971857
Tyrosine	C00082	2276227.16240601	0.1119503955
Hydroxybutanoic acid	C05984	117029.356400617	0.127184982
Xylulose	C00310	133880.61274588	0.120096692
Oxoproline	C01879	35806076.3632457	0.0662188711
